epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1172.67,1.46509,6.13818,0.43673,1.52843,1.53733,0.69109,0.62122,0.69654,0.42203,0.55577,0.4142,0.38161,0.11508,1.3372,5.17492,0.40561,1.37365,1.46358,0.0700042,0.00333286,0.00333286
2,2249.94,1.34861,5.61432,0.40986,1.37921,1.45845,0.79306,0.69144,0.79557,0.53066,0.71235,0.55947,0.56229,0.22325,1.14392,4.26724,0.36078,1.06498,1.31775,0.0397843,0.00644621,0.00644621
3,3313.85,1.26041,5.15975,0.38875,1.25595,1.39439,0.81121,0.72922,0.82957,0.57173,0.75352,0.58989,0.62406,0.27668,1.06457,3.90123,0.35012,0.9513,1.25644,0.00934427,0.00933956,0.00933956
4,4378.47,1.20057,4.85453,0.37353,1.16606,1.34959,0.82133,0.74575,0.84394,0.59517,0.77438,0.62547,0.65802,0.30868,1.0228,3.65574,0.33854,0.89145,1.22299,0.00901,0.00901,0.00901
5,5434.69,1.15536,4.59121,0.36214,1.10162,1.31549,0.83435,0.75834,0.85805,0.61419,0.79677,0.64003,0.6841,0.3351,0.98292,3.44674,0.33018,0.84807,1.1909,0.00868,0.00868,0.00868
6,6540.87,1.12995,4.42579,0.3542,1.06319,1.29755,0.83251,0.76984,0.86421,0.62968,0.79412,0.65277,0.6996,0.35638,0.95058,3.32208,0.32225,0.81149,1.16735,0.00835,0.00835,0.00835
7,7618.15,1.10718,4.29872,0.34773,1.03007,1.27963,0.83738,0.77503,0.87127,0.63781,0.79436,0.67003,0.71703,0.37089,0.93461,3.20085,0.31723,0.7856,1.1548,0.00802,0.00802,0.00802
8,8674.01,1.0843,4.16314,0.34164,0.99723,1.26322,0.83503,0.78385,0.87772,0.64969,0.80535,0.67805,0.7306,0.3875,0.91459,3.10707,0.31329,0.76293,1.13692,0.00769,0.00769,0.00769
9,9773.65,1.07256,4.07926,0.33744,0.9804,1.25396,0.84265,0.78574,0.88356,0.65765,0.80491,0.69128,0.73967,0.40464,0.89902,3.02319,0.30919,0.74243,1.1257,0.00736,0.00736,0.00736
10,10939.5,1.05575,3.97753,0.33373,0.95878,1.24269,0.8492,0.78511,0.88445,0.66122,0.80523,0.69789,0.74583,0.41244,0.89073,2.9647,0.30646,0.73264,1.11899,0.00703,0.00703,0.00703
11,12046.5,1.04183,3.90875,0.33022,0.93969,1.232,0.84764,0.79329,0.88785,0.66673,0.80319,0.70866,0.7548,0.42131,0.88299,2.91142,0.30341,0.7233,1.11243,0.0067,0.0067,0.0067
12,13139.6,1.03037,3.82966,0.32685,0.92808,1.22563,0.84326,0.79597,0.88953,0.66992,0.80629,0.70797,0.7582,0.42899,0.87698,2.86232,0.30127,0.71533,1.1075,0.00637,0.00637,0.00637
13,14273.2,1.01885,3.76509,0.32336,0.91188,1.21703,0.84845,0.79849,0.89219,0.67394,0.808,0.71316,0.76368,0.43659,0.87205,2.81731,0.29986,0.70555,1.10339,0.00604,0.00604,0.00604
14,15394.3,1.00529,3.69454,0.32025,0.89486,1.20895,0.85417,0.79854,0.89342,0.67609,0.80969,0.71736,0.76715,0.44111,0.86585,2.78396,0.29826,0.69795,1.09855,0.00571,0.00571,0.00571
15,16467.7,0.99927,3.63455,0.31731,0.88744,1.20367,0.85483,0.80189,0.89574,0.67753,0.80849,0.71867,0.76929,0.44501,0.86241,2.75525,0.29671,0.69414,1.09519,0.00538,0.00538,0.00538
16,17501.7,0.99029,3.58948,0.31585,0.87529,1.19774,0.85154,0.80494,0.89649,0.67967,0.81228,0.72347,0.77363,0.4491,0.85865,2.72932,0.29511,0.68999,1.09209,0.00505,0.00505,0.00505
17,18519.5,0.98676,3.5338,0.31341,0.86738,1.19451,0.85027,0.80589,0.8975,0.68236,0.81723,0.72339,0.77701,0.45248,0.85489,2.7091,0.29401,0.68685,1.08917,0.00472,0.00472,0.00472
18,19551.2,0.97587,3.47472,0.31097,0.85652,1.18673,0.84666,0.81273,0.89855,0.68387,0.82105,0.72182,0.77829,0.4549,0.85142,2.69253,0.2931,0.68277,1.0867,0.00439,0.00439,0.00439
19,20611.3,0.96661,3.43197,0.3086,0.8444,1.18188,0.8488,0.81392,0.89937,0.68566,0.82021,0.72394,0.77835,0.45661,0.84883,2.67906,0.29227,0.6788,1.08507,0.00406,0.00406,0.00406
20,21672.4,0.96219,3.37423,0.30679,0.83454,1.17927,0.85249,0.81187,0.90031,0.68716,0.81869,0.72812,0.78024,0.45884,0.84634,2.66427,0.29143,0.67478,1.08284,0.00373,0.00373,0.00373
21,22785.6,0.90027,2.90408,0.302,0.72954,1.14397,0.8566,0.81251,0.90117,0.68923,0.81966,0.72938,0.7815,0.46183,0.84336,2.64924,0.29032,0.67052,1.08074,0.0034,0.0034,0.0034
22,23870.4,0.88743,2.84403,0.29772,0.71591,1.13552,0.85524,0.81476,0.9026,0.69092,0.82258,0.7321,0.7842,0.46473,0.84046,2.63513,0.28906,0.66655,1.07845,0.00307,0.00307,0.00307
23,24948.5,0.87785,2.79571,0.29527,0.70277,1.13012,0.85534,0.81659,0.90352,0.69265,0.82277,0.73552,0.78719,0.46805,0.83726,2.62127,0.288,0.66312,1.07655,0.00274,0.00274,0.00274
24,26070.1,0.86871,2.7492,0.29373,0.69285,1.12426,0.85797,0.81612,0.90434,0.69407,0.82257,0.73473,0.78802,0.47063,0.83431,2.60653,0.28696,0.65931,1.07469,0.00241,0.00241,0.00241
25,27156.1,0.8584,2.69296,0.29116,0.67936,1.1178,0.85897,0.81612,0.90544,0.69552,0.825,0.73403,0.78907,0.47335,0.83146,2.5924,0.28597,0.65552,1.07268,0.00208,0.00208,0.00208
26,28212.4,0.85197,2.65743,0.28965,0.67112,1.11137,0.86119,0.81655,0.90634,0.69715,0.83053,0.73605,0.79236,0.47616,0.82975,2.57853,0.28507,0.65155,1.07107,0.00175,0.00175,0.00175
27,29273.2,0.844,2.61395,0.2885,0.66187,1.10732,0.86129,0.81895,0.90772,0.69855,0.82753,0.74449,0.79417,0.47801,0.82815,2.5648,0.28414,0.6479,1.06947,0.00142,0.00142,0.00142
28,30335.6,0.83545,2.57422,0.28551,0.65448,1.10147,0.86098,0.82195,0.90856,0.69977,0.82924,0.74462,0.79511,0.47924,0.82622,2.55239,0.28337,0.64498,1.06772,0.00109,0.00109,0.00109
29,31394.8,0.82991,2.54126,0.28486,0.64427,1.09852,0.86338,0.82178,0.90952,0.70119,0.82907,0.74732,0.79691,0.48101,0.82432,2.54151,0.28251,0.64222,1.06633,0.00076,0.00076,0.00076
30,32451.9,0.8232,2.50718,0.28323,0.63854,1.09452,0.85665,0.82651,0.90996,0.70284,0.8294,0.74591,0.79628,0.48217,0.82261,2.53028,0.28181,0.63913,1.06485,0.00043,0.00043,0.00043
